,level,fly,bf
580,0.524,0.524,0.556
581,0.603,0.571,0.524
582,0.556,0.492,0.524
583,0.714,0.698,0.444
584,0.587,0.508,0.46
585,0.651,0.587,0.46
586,0.683,0.556,0.444
587,0.635,0.587,0.381
588,0.698,0.571,0.429
589,0.698,0.571,0.46
590,0.603,0.54,0.476
591,0.571,0.492,0.476
592,0.476,0.603,0.476
593,0.619,0.524,0.397
594,0.603,0.603,0.476
595,0.556,0.571,0.397
596,0.603,0.54,0.492
597,0.698,0.476,0.524
598,0.635,0.492,0.556
599,0.683,0.651,0.492
600,0.571,0.651,0.413
601,0.587,0.587,0.492
602,0.587,0.571,0.365
603,0.556,0.524,0.381
604,0.635,0.571,0.444
605,0.698,0.54,0.46
606,0.635,0.54,0.429
607,0.508,0.508,0.508
608,0.556,0.667,0.492
609,0.571,0.683,0.381
610,0.508,0.619,0.508
611,0.54,0.476,0.444
612,0.651,0.667,0.54
613,0.492,0.619,0.492
614,0.603,0.556,0.429
615,0.571,0.587,0.46
616,0.619,0.746,0.492
617,0.556,0.524,0.556
618,0.683,0.54,0.476
619,0.651,0.651,0.492
620,0.635,0.556,0.444
621,0.651,0.698,0.429
622,0.667,0.556,0.571
623,0.651,0.587,0.476
624,0.54,0.587,0.429
625,0.698,0.651,0.476
626,0.698,0.587,0.429
627,0.667,0.556,0.413
628,0.619,0.587,0.492
629,0.603,0.54,0.429
630,0.571,0.54,0.429
631,0.524,0.556,0.429
632,0.603,0.587,0.46
633,0.603,0.635,0.476
634,0.651,0.556,0.508
635,0.587,0.492,0.397
636,0.651,0.571,0.476
637,0.587,0.571,0.54
638,0.603,0.571,0.397
639,0.683,0.571,0.476
640,0.651,0.603,0.476
641,0.683,0.603,0.444
642,0.587,0.587,0.444
643,0.667,0.524,0.508
644,0.651,0.587,0.46
645,0.571,0.524,0.476
646,0.651,0.587,0.476
647,0.54,0.556,0.413
648,0.698,0.651,0.556
649,0.635,0.667,0.524
650,0.603,0.508,0.508
651,0.571,0.619,0.46
652,0.635,0.508,0.476
653,0.667,0.619,0.492
654,0.651,0.571,0.476
655,0.619,0.556,0.508
656,0.635,0.698,0.524
657,0.587,0.54,0.429
658,0.571,0.587,0.429
659,0.571,0.635,0.476
660,0.556,0.651,0.349
661,0.587,0.46,0.476
662,0.603,0.54,0.429
663,0.635,0.54,0.413
664,0.508,0.651,0.381
665,0.587,0.587,0.508
666,0.603,0.571,0.508
667,0.587,0.635,0.46
668,0.571,0.714,0.429
669,0.556,0.492,0.46
670,0.603,0.571,0.46
671,0.603,0.635,0.413
672,0.683,0.571,0.413
673,0.603,0.603,0.524
674,0.603,0.524,0.492
