,level,fly,bf
537,0.635,0.683,0.508
538,0.524,0.524,0.413
539,0.667,0.762,0.492
540,0.762,0.603,0.476
541,0.587,0.635,0.429
542,0.603,0.619,0.524
543,0.619,0.556,0.492
544,0.635,0.683,0.476
545,0.619,0.571,0.508
546,0.603,0.746,0.524
547,0.635,0.651,0.476
548,0.683,0.651,0.413
549,0.667,0.587,0.492
550,0.508,0.651,0.46
551,0.556,0.587,0.365
552,0.603,0.603,0.444
553,0.603,0.603,0.524
554,0.635,0.619,0.587
555,0.619,0.635,0.556
556,0.587,0.556,0.476
557,0.714,0.571,0.444
558,0.714,0.603,0.571
559,0.73,0.603,0.54
560,0.635,0.587,0.444
561,0.603,0.54,0.444
562,0.587,0.603,0.476
563,0.603,0.603,0.476
564,0.508,0.524,0.381
565,0.619,0.651,0.429
566,0.667,0.508,0.429
567,0.667,0.571,0.476
568,0.619,0.587,0.508
569,0.73,0.587,0.508
570,0.667,0.619,0.476
571,0.635,0.46,0.508
572,0.603,0.587,0.397
573,0.635,0.635,0.556
574,0.571,0.587,0.587
575,0.54,0.508,0.46
576,0.619,0.54,0.492
577,0.571,0.587,0.397
578,0.667,0.651,0.524
579,0.667,0.651,0.508
580,0.54,0.429,0.524
581,0.619,0.619,0.556
582,0.587,0.587,0.524
583,0.762,0.714,0.46
584,0.619,0.444,0.46
585,0.667,0.587,0.429
586,0.667,0.556,0.429
587,0.619,0.508,0.397
588,0.73,0.587,0.429
589,0.698,0.571,0.492
590,0.619,0.603,0.46
591,0.619,0.508,0.46
592,0.476,0.587,0.476
593,0.635,0.667,0.413
594,0.603,0.635,0.476
595,0.556,0.587,0.492
596,0.571,0.571,0.492
597,0.683,0.492,0.524
598,0.619,0.556,0.524
599,0.651,0.635,0.508
600,0.556,0.667,0.444
601,0.587,0.603,0.524
602,0.603,0.508,0.397
603,0.524,0.54,0.397
604,0.619,0.556,0.46
605,0.698,0.508,0.46
606,0.635,0.54,0.46
607,0.508,0.571,0.492
608,0.54,0.619,0.508
609,0.587,0.667,0.429
610,0.524,0.54,0.444
611,0.556,0.492,0.429
612,0.667,0.667,0.492
613,0.492,0.635,0.476
614,0.619,0.603,0.429
615,0.587,0.556,0.444
616,0.603,0.746,0.46
617,0.556,0.524,0.54
618,0.683,0.556,0.444
619,0.619,0.667,0.476
620,0.603,0.571,0.46
621,0.667,0.651,0.444
622,0.698,0.619,0.571
623,0.667,0.571,0.444
624,0.524,0.571,0.476
625,0.683,0.635,0.556
626,0.714,0.619,0.429
627,0.635,0.54,0.429
628,0.635,0.571,0.46
629,0.603,0.556,0.413
630,0.603,0.524,0.444
631,0.556,0.556,0.429
632,0.635,0.635,0.508
633,0.619,0.683,0.492
634,0.619,0.54,0.492
635,0.587,0.508,0.413
636,0.619,0.603,0.444
637,0.571,0.635,0.556
638,0.556,0.603,0.349
639,0.683,0.524,0.46
640,0.603,0.524,0.524
641,0.667,0.556,0.46
642,0.603,0.556,0.429
643,0.683,0.571,0.54
644,0.619,0.587,0.413
645,0.587,0.524,0.476
646,0.651,0.524,0.508
647,0.54,0.587,0.492
648,0.698,0.698,0.508
649,0.603,0.571,0.571
650,0.603,0.556,0.508
651,0.571,0.587,0.476
652,0.667,0.524,0.444
653,0.667,0.635,0.46
654,0.667,0.571,0.492
655,0.603,0.587,0.508
656,0.635,0.651,0.556
657,0.556,0.508,0.429
658,0.587,0.571,0.444
659,0.556,0.667,0.492
660,0.556,0.667,0.381
661,0.587,0.476,0.508
662,0.603,0.524,0.413
663,0.635,0.587,0.429
664,0.476,0.651,0.397
665,0.603,0.571,0.571
666,0.603,0.587,0.476
667,0.587,0.635,0.444
668,0.587,0.714,0.444
669,0.54,0.54,0.476
670,0.603,0.603,0.492
671,0.587,0.667,0.444
672,0.667,0.556,0.492
673,0.603,0.603,0.492
674,0.619,0.587,0.524
675,0.619,0.635,0.429
676,0.571,0.556,0.429
677,0.683,0.587,0.46
678,0.587,0.508,0.556
679,0.571,0.571,0.476
680,0.683,0.651,0.492
681,0.667,0.619,0.476
682,0.603,0.476,0.492
683,0.667,0.556,0.492
684,0.587,0.571,0.413
685,0.698,0.667,0.413
686,0.571,0.746,0.556
687,0.683,0.587,0.444
688,0.571,0.524,0.492
689,0.698,0.619,0.508
